RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE	OPAGE
1809	04	02	Examiner	0007	1809	04	01	Caledonian Mercury	0002
1809	04	03	Caledonian Mercury	0001	1809	04	01	Jackson’s Oxford Journal	0004
1809	04	03	Caledonian Mercury	0002	1809	04	02	Examiner	0012
1809	04	04	Hull Packet	0003	1809	04	01	Jackson’s Oxford Journal	0003
1809	04	04	Hull Packet	0004	1809	04	01	Caledonian Mercury	0004
1809	04	06	Derby Mercury	0004	1809	04	01	Jackson’s Oxford Journal	0001
1809	04	08	Jackson’s Oxford Journal	0001	1809	04	06	Derby Mercury	0004
1809	04	08	Jackson’s Oxford Journal	0004	1809	04	04	Hull Packet	0001
1809	04	09	Examiner	0015	1809	04	07	Morning Chronicle	0003
1809	04	10	Caledonian Mercury	0001	1809	04	05	Aberdeen Journal	0002
1809	04	10	Caledonian Mercury	0002	1809	04	06	Morning Chronicle	0003
1809	04	10	Hampshire/Portsmouth Telegraph	0004	1809	04	03	Caledonian Mercury	0001
1809	04	11	Hull Packet	0001	1809	04	08	Jackson’s Oxford Journal	0001
1809	04	13	Caledonian Mercury	0002	1809	04	11	Morning Chronicle	0002
1809	04	13	Derby Mercury	0002	1809	04	10	Morning Chronicle	0003
1809	04	13	Trewman’s Exeter Flying Post	0002	1809	04	10	Morning Chronicle	0002
1809	04	15	Caledonian Mercury	0001	1809	04	05	Aberdeen Journal	0002
1809	04	15	Caledonian Mercury	0002	1809	04	12	Morning Chronicle	0003
1809	04	15	Jackson’s Oxford Journal	0002	1809	04	14	Morning Chronicle	0002
1809	04	15	Jackson’s Oxford Journal	0004	1809	04	13	Derby Mercury	0002
1809	04	16	Examiner	0003	1809	04	13	Caledonian Mercury	0002
1809	04	16	Examiner	0004	1809	04	15	Jackson’s Oxford Journal	0002
1809	04	16	Examiner	0005	1809	04	15	Jackson’s Oxford Journal	0002
1809	04	16	Examiner	0010	1809	04	12	Morning Chronicle	0002
1809	04	16	Examiner	0011	1809	04	12	Morning Chronicle	0002
1809	04	16	Examiner	0013	1809	04	13	Morning Chronicle	0003
1809	04	17	Caledonian Mercury	0002	1809	04	14	Morning Chronicle	0002
1809	04	17	Caledonian Mercury	0003	1809	04	16	Examiner	0005
1809	04	18	Hull Packet	0001	1809	04	15	Caledonian Mercury	0002
1809	04	18	Hull Packet	0004	1809	04	13	Caledonian Mercury	0002
1809	04	19	Aberdeen Journal	0002	1809	04	13	Caledonian Mercury	0002
1809	04	20	Caledonian Mercury	0002	1809	04	17	Morning Chronicle	0004
1809	04	20	Trewman’s Exeter Flying Post	0002	1809	04	15	Jackson’s Oxford Journal	0002
1809	04	20	Trewman’s Exeter Flying Post	0003	1809	04	08	Jackson’s Oxford Journal	0004
1809	04	22	Jackson’s Oxford Journal	0004	1809	04	20	Caledonian Mercury	0002
1809	04	25	Hull Packet	0001	1809	04	20	Caledonian Mercury	0002
1809	04	25	Hull Packet	0003	1809	04	22	Morning Chronicle	0004
1809	04	26	Aberdeen Journal	0002	1809	04	20	Caledonian Mercury	0004
1809	04	27	Caledonian Mercury	0002	1809	04	22	Morning Chronicle	0004
1809	04	27	Caledonian Mercury	0003	1809	04	24	Morning Chronicle	0003
1809	04	27	Caledonian Mercury	0004	1809	04	26	Aberdeen Journal	0004
1809	04	27	Derby Mercury	0004	1809	04	22	Morning Chronicle	0004
1809	04	27	Trewman’s Exeter Flying Post	0001	1809	04	24	Morning Chronicle	0002
1809	04	27	Trewman’s Exeter Flying Post	0002	1809	04	22	Morning Chronicle	0004
1809	04	27	Trewman’s Exeter Flying Post	0003	1809	04	22	Morning Chronicle	0004
1809	04	29	Caledonian Mercury	0004	1809	04	26	Aberdeen Journal	0002
1809	04	29	Jackson’s Oxford Journal	0001	1809	04	24	Morning Chronicle	0003
1809	04	29	Jackson’s Oxford Journal	0004	1809	04	27	Caledonian Mercury	0002
1809	04	30	Examiner	0006	1809	04	25	Morning Chronicle	0002
1809	05	01	Caledonian Mercury	0002	1809	04	30	Examiner	0010
1809	05	01	Caledonian Mercury	0003	1809	04	28	Morning Chronicle	0002
1809	05	02	Hull Packet	0001	1809	04	29	Jackson’s Oxford Journal	0004
1809	05	02	Hull Packet	0004	1809	04	22	Jackson’s Oxford Journal	0004
1809	05	03	Aberdeen Journal	0002	1809	04	27	Caledonian Mercury	0002
1809	05	04	Caledonian Mercury	0004	1809	04	26	Aberdeen Journal	0002
