RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE
1814	11	03	Caledonian Mercury	0003	1814	11	02	Morning Chronicle	0002
1814	11	03	Morning Chronicle	0003	1814	11	01	Hull Packet	0003
1814	11	03	Trewman’s Exeter Flying Post	0001	1814	11	01	Hull Packet	0001
1814	11	05	Caledonian Mercury	0002	1814	11	03	Morning Chronicle	0004
1814	11	05	Caledonian Mercury	0003	1814	11	03	Morning Chronicle	0002
1814	11	05	Cobbett’s Weekly Political Register	0011	1814	11	03	Caledonian Mercury	0003
1814	11	05	Cobbett’s Weekly Political Register	0012	1814	11	03	Caledonian Mercury	0003
1814	11	05	Cobbett’s Weekly Political Register	0015	1814	11	03	Caledonian Mercury	0002
1814	11	05	Leeds Mercury	0002	1814	11	03	Caledonian Mercury	0003
1814	11	05	Leeds Mercury	0003	1814	11	03	Morning Chronicle	0004
1814	11	06	Examiner	0006	1814	11	03	Caledonian Mercury	0003
1814	11	06	Examiner	0007	1814	11	03	Caledonian Mercury	0003
1814	11	07	Caledonian Mercury	0002	1814	11	04	Morning Chronicle	0002
1814	11	08	Hull Packet	0001	1814	11	03	Trewman’s Exeter Flying Post	0001
1814	11	08	Hull Packet	0004	1814	11	03	Caledonian Mercury	0003
1814	11	10	Trewman’s Exeter Flying Post	0002	1814	11	07	Caledonian Mercury	0002
1814	11	10	Trewman’s Exeter Flying Post	0003	1814	11	05	Leeds Mercury	0003
1814	11	10	Trewman’s Exeter Flying Post	0004	1814	11	08	Morning Chronicle	0002
1814	11	11	Liverpool Mercury	0002	1814	11	03	Caledonian Mercury	0002
1814	11	11	Liverpool Mercury	0003	1814	11	05	Leeds Mercury	0003
1814	11	12	Caledonian Mercury	0002	1814	11	11	Liverpool Mercury	0002
1814	11	12	Cobbett’s Weekly Political Register	0011	1814	11	10	Trewman’s Exeter Flying Post	0004
1814	11	12	Jackson’s Oxford Journal	0002	1814	11	10	Trewman’s Exeter Flying Post	0004
1814	11	12	Leeds Mercury	0002	1814	11	10	Trewman’s Exeter Flying Post	0004
1814	11	13	Examiner	0007	1814	11	12	Caledonian Mercury	0002
1814	11	13	Examiner	0009	1814	11	09	Morning Chronicle	0004
1814	11	13	Examiner	0010	1814	11	09	Morning Chronicle	0004
1814	11	13	Examiner	0012	1814	11	09	Morning Chronicle	0001
1814	11	14	Caledonian Mercury	0002	1814	11	11	Morning Chronicle	0002
1814	11	15	Hull Packet	0001	1814	11	05	Caledonian Mercury	0003
1814	11	15	Hull Packet	0003	1814	11	06	Examiner	0013
1814	11	15	Hull Packet	0004	1814	11	10	Caledonian Mercury	0004
1814	11	17	Caledonian Mercury	0002	1814	11	12	Morning Chronicle	0002
1814	11	17	Trewman’s Exeter Flying Post	0003	1814	11	14	Caledonian Mercury	0002
1814	11	18	Liverpool Mercury	0003	1814	11	14	Caledonian Mercury	0002
1814	11	19	Leeds Mercury	0002	1814	11	14	Caledonian Mercury	0002
1814	11	19	Leeds Mercury	0003	1814	11	17	Morning Chronicle	0002
1814	11	21	Caledonian Mercury	0004	1814	11	17	Morning Chronicle	0002
1814	11	22	Hull Packet	0003	1814	11	18	Morning Chronicle	0003
1814	11	23	Aberdeen Journal	0003	1814	11	21	Caledonian Mercury	0003
1814	11	26	Caledonian Mercury	0003	1814	11	24	Trewman’s Exeter Flying Post	0004
1814	11	26	Leeds Mercury	0004	1814	11	24	Caledonian Mercury	0002
1814	11	28	Caledonian Mercury	0002	1814	11	24	Morning Chronicle	0002
1814	11	29	Hull Packet	0001	1814	11	24	Caledonian Mercury	0004
1814	12	01	Caledonian Mercury	0002	1814	11	28	Morning Chronicle	0004
1814	12	01	Trewman’s Exeter Flying Post	0002	1814	11	28	Morning Chronicle	0004
1814	12	02	Liverpool Mercury	0003	1814	11	28	Morning Chronicle	0004
1814	12	03	Caledonian Mercury	0004	1814	11	30	Morning Chronicle	0002
1814	12	03	Ipswich Journal	0004	1814	11	28	Morning Chronicle	0004
1814	12	03	Leeds Mercury	0002	1814	11	30	Morning Chronicle	0002
1814	12	03	Leeds Mercury	0004	1814	11	28	Morning Chronicle	0004
1814	12	06	Hull Packet	0004	1814	11	28	Morning Chronicle	0004
1815	04	14	Liverpool Mercury	0004	1814	11	01	Hull Packet	0001
1815	05	04	Trewman’s Exeter Flying Post	0001	1814	11	01	Hull Packet	0001
