YEAR	MONTH	DAY	TITLE	PAGE
1803	03	03	Trewman’s Exeter Flying Post	0004
1803	03	03	Trewman’s Exeter Flying Post	0003
1803	03	01	Morning Chronicle	0003
1803	03	05	Jackson’s Oxford Journal	0002
1803	03	10	Derby Mercury	0002
1803	03	10	Derby Mercury	0004
1803	03	10	Trewman’s Exeter Flying Post	0004
1803	03	12	Jackson’s Oxford Journal	0002
1803	03	05	Newcastle Courant	0003
1803.03.14_HampshireTelegraph&PortsmouthGazette_0001,
1803	03	17	Derby Mercury	0004
1803	03	17	Derby Mercury	0003
1803	03	14	Morning Chronicle	0003
1803	03	19	Jackson’s Oxford Journal	0002
1803.03.14_HampshireTelegraph&PortsmouthGazette_0004,
1803	03	19	Morning Chronicle	0003
1803	03	24	Trewman’s Exeter Flying Post	0004
1803	03	01	Morning Chronicle	0002
1803	03	01	Hull Packet	0001
1803	03	26	Ipswich Journal	0001
1803	03	31	Derby Mercury	0004
1803	03	01	Hull Packet	0004
1803	03	12	Jackson’s Oxford Journal	0004
