RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE
1809	12	02	Leeds Mercury	0002	1809	12	02	Jackson’s Oxford Journal	0001
1809	12	02	Leeds Mercury	0004	1809	12	02	Jackson’s Oxford Journal	0004
1809	12	04	Caledonian Mercury	0002	1809	12	02	Jackson’s Oxford Journal	0002
1809	12	04	Morning Chronicle	0001	1809	12	04	Hampshire/Portsmouth Telegraph	0003
1809	12	05	Hull Packet	0001	1809	12	02	Jackson’s Oxford Journal	0001
1809	12	05	Hull Packet	0001	1809	12	02	Leeds Mercury	0004
1809	12	05	Hull Packet	0002	1809	12	02	Caledonian Mercury	0002
1809	12	05	Hull Packet	0002	1809	12	02	Jackson’s Oxford Journal	0002
1809	12	05	Hull Packet	0002	1809	12	04	Caledonian Mercury	0002
1809	12	05	Hull Packet	0003	1809	12	02	Jackson’s Oxford Journal	0002
1809	12	05	Hull Packet	0003	1809	12	04	Caledonian Mercury	0002
1809	12	06	Aberdeen Journal	0002	1809	12	02	Jackson’s Oxford Journal	0002
1809	12	06	Aberdeen Journal	0002	1809	12	04	Caledonian Mercury	0002
1809	12	06	Aberdeen Journal	0002	1809	12	05	Hull Packet	0002
1809	12	06	Aberdeen Journal	0002	1809	12	05	Hull Packet	0003
1809	12	07	Caledonian Mercury	0002	1809	12	04	Hampshire/Portsmouth Telegraph	0003
1809	12	07	Caledonian Mercury	0002	1809	12	04	Morning Chronicle	0001
1809	12	07	Derby Mercury	0002	1809	12	04	Hampshire/Portsmouth Telegraph	0003
1809	12	07	Derby Mercury	0002	1809	12	04	Morning Chronicle	0001
1809	12	07	Derby Mercury	0002	1809	12	07	Caledonian Mercury	0002
1809	12	07	Derby Mercury	0004	1809	12	02	Jackson’s Oxford Journal	0002
1809	12	07	Derby Mercury	0004	1809	12	02	Ipswich Journal	0002
1809	12	07	Derby Mercury	0004	1809	12	04	Caledonian Mercury	0002
1809	12	07	Derby Mercury	0004	1809	12	05	Hull Packet	0002
1809	12	07	Derby Mercury	0004	1809	12	05	Hull Packet	0003
1809	12	07	Derby Mercury	0004	1809	12	06	Aberdeen Journal	0002
1809	12	07	Trewman’s Exeter Flying Post	0002	1809	12	02	Jackson’s Oxford Journal	0001
1809	12	07	Trewman’s Exeter Flying Post	0002	1809	12	02	Jackson’s Oxford Journal	0002
1809	12	07	Trewman’s Exeter Flying Post	0002	1809	12	02	Ipswich Journal	0002
1809	12	07	Trewman’s Exeter Flying Post	0002	1809	12	04	Caledonian Mercury	0002
1809	12	07	Trewman’s Exeter Flying Post	0002	1809	12	05	Hull Packet	0002
1809	12	07	Trewman’s Exeter Flying Post	0002	1809	12	05	Hull Packet	0003
1809	12	07	Trewman’s Exeter Flying Post	0002	1809	12	06	Aberdeen Journal	0002
1809	12	07	Trewman’s Exeter Flying Post	0002	1809	12	07	Derby Mercury	0004
1809	12	09	Jackson’s Oxford Journal	0004	1809	12	04	Hampshire/Portsmouth Telegraph	0003
1809	12	09	Jackson’s Oxford Journal	0004	1809	12	04	Morning Chronicle	0001
1809	12	09	Jackson’s Oxford Journal	0004	1809	12	07	Caledonian Mercury	0002
1809	12	09	Jackson’s Oxford Journal	0004	1809	12	07	Derby Mercury	0002
1809	12	11	Caledonian Mercury	0002	1809	12	08	Morning Chronicle	0002
1809	12	11	Hampshire/Portsmouth Telegraph	0001	1809	12	09	Jackson’s Oxford Journal	0002
1809	12	13	Aberdeen Journal	0003	1809	12	04	Hampshire/Portsmouth Telegraph	0003
1809	12	13	Aberdeen Journal	0003	1809	12	04	Morning Chronicle	0001
1809	12	13	Aberdeen Journal	0003	1809	12	07	Caledonian Mercury	0002
1809	12	13	Aberdeen Journal	0003	1809	12	07	Derby Mercury	0002
1809	12	13	Aberdeen Journal	0003	1809	12	09	Jackson’s Oxford Journal	0004
1809	12	13	Aberdeen Journal	0003	1809	12	11	Caledonian Mercury	0002
1809	12	14	Derby Mercury	0002	1809	12	14	Caledonian Mercury	0002
1809	12	14	Derby Mercury	0004	1809	12	07	Trewman’s Exeter Flying Post	0003
1809	12	14	Trewman’s Exeter Flying Post	0002	1809	12	11	Caledonian Mercury	0002
1809	12	14	Trewman’s Exeter Flying Post	0002	1809	12	14	Caledonian Mercury	0002
1809	12	14	Trewman’s Exeter Flying Post	0003	1809	12	02	Jackson’s Oxford Journal	0004
1809	12	14	Trewman’s Exeter Flying Post	0004	1809	12	14	Derby Mercury	0002
1809	12	16	Caledonian Mercury	0003	1809	12	13	Morning Chronicle	0002
1809	12	16	Jackson’s Oxford Journal	0001	1809	12	14	Caledonian Mercury	0002
1809	12	16	Jackson’s Oxford Journal	0001	1809	12	14	Derby Mercury	0004
1809	12	16	Jackson’s Oxford Journal	0004	1809	12	14	Trewman’s Exeter Flying Post	0002
1809	12	16	Ipswich Journal	0004	1809	12	16	Jackson’s Oxford Journal	0004
1809	12	16	Leeds Mercury	0004	1809	12	02	Jackson’s Oxford Journal	0001
1809	12	17	Examiner	0002	1809	12	13	Morning Chronicle	0002
1809	12	18	Caledonian Mercury	0001	1809	12	02	Jackson’s Oxford Journal	0001
1809	12	18	Caledonian Mercury	0001	1809	12	07	Trewman’s Exeter Flying Post	0002
1809	12	19	Hull Packet	0001	1809	12	02	Jackson’s Oxford Journal	0002
1809	12	19	Hull Packet	0001	1809	12	02	Leeds Mercury	0004
1809	12	19	Hull Packet	0004	1809	12	16	Caledonian Mercury	0003
1809	12	19	Hull Packet	0004	1809	12	16	Leeds Mercury	0004
1809	12	20	Aberdeen Journal	0002	1809	12	05	Hull Packet	0001
1809	12	21	Caledonian Mercury	0002	1809	12	18	Morning Chronicle	0001
1809	12	21	Derby Mercury	0004	1809	12	05	Hull Packet	0001
1809	12	21	Trewman’s Exeter Flying Post	0001	1809	12	05	Hull Packet	0001
1809	12	21	Trewman’s Exeter Flying Post	0003	1809	12	02	Jackson’s Oxford Journal	0001
1809	12	23	Caledonian Mercury	0002	1809	12	19	Morning Chronicle	0002
1809	12	23	Caledonian Mercury	0003	1809	12	21	Morning Chronicle	0002
1809	12	23	Jackson’s Oxford Journal	0004	1809	12	02	Leeds Mercury	0002
1809	12	23	Jackson’s Oxford Journal	0004	1809	12	07	Trewman’s Exeter Flying Post	0002
1809	12	23	Jackson’s Oxford Journal	0004	1809	12	16	Leeds Mercury	0004
1809	12	23	Jackson’s Oxford Journal	0004	1809	12	18	Caledonian Mercury	0001
1809	12	23	Leeds Mercury	0004	1809	12	16	Jackson’s Oxford Journal	0001
1809	12	24	Examiner	0002	1809	12	23	Caledonian Mercury	0002
1809	12	25	Caledonian Mercury	0002	1809	12	21	Morning Chronicle	0003
1809	12	26	Hull Packet	0003	1809	12	19	Morning Chronicle	0002
1809	12	26	Hull Packet	0004	1809	12	23	Caledonian Mercury	0002
1809	12	26	Hull Packet	0004	1809	12	23	Jackson’s Oxford Journal	0002
1809	12	28	Derby Mercury	0002	1809	12	02	Jackson’s Oxford Journal	0001
1809	12	28	Derby Mercury	0002	1809	12	07	Trewman’s Exeter Flying Post	0002
1809	12	28	Derby Mercury	0002	1809	12	23	Jackson’s Oxford Journal	0004
1809	12	28	Derby Mercury	0004	1809	12	09	Jackson’s Oxford Journal	0004
1809	12	28	Derby Mercury	0004	1809	12	16	Jackson’s Oxford Journal	0001
1809	12	28	Derby Mercury	0004	1809	12	19	Hull Packet	0001
1809	12	28	Derby Mercury	0004	1809	12	23	Jackson’s Oxford Journal	0001
1809	12	30	Jackson’s Oxford Journal	0004	1809	12	28	Caledonian Mercury	0002
1809	12	31	Examiner	0009	1809	12	28	Morning Chronicle	0002
1810	01	03	Aberdeen Journal	0002	1809	12	30	Jackson’s Oxford Journal	0002
1810	01	03	Aberdeen Journal	0003	1809	12	30	Jackson’s Oxford Journal	0001
1810	01	04	Derby Mercury	0001	1809	12	30	Jackson’s Oxford Journal	0002
1810	01	04	Derby Mercury	0004	1809	12	30	Jackson’s Oxford Journal	0001
1810	01	04	Trewman’s Exeter Flying Post	0002	1809	12	30	Jackson’s Oxford Journal	0002
1810	01	06	Cobbett’s Weekly Political Register	0007	1809	12	28	Morning Chronicle	0004
1810	01	06	Cobbett’s Weekly Political Register	0007	1809	12	30	Caledonian Mercury	0002
1810	01	06	Cobbett’s Weekly Political Register	0007	1809	12	31	Examiner	0010
1810	01	06	Jackson’s Oxford Journal	0004	1809	12	07	Trewman’s Exeter Flying Post	0002
1810	01	06	Jackson’s Oxford Journal	0004	1809	12	18	Caledonian Mercury	0001
1810	01	06	Jackson’s Oxford Journal	0004	1809	12	28	Derby Mercury	0002
1810	01	06	Leeds Mercury	0004	1809	12	30	Jackson’s Oxford Journal	0004
1810	01	11	Derby Mercury	0001	1809	12	16	Jackson’s Oxford Journal	0001
1810	01	11	Derby Mercury	0001	1809	12	30	Jackson’s Oxford Journal	0002
1810	01	11	Derby Mercury	0004	1809	12	02	Jackson’s Oxford Journal	0001
1810	01	11	Derby Mercury	0004	1809	12	07	Trewman’s Exeter Flying Post	0002
1810	01	11	Derby Mercury	0004	1809	12	18	Caledonian Mercury	0001
1810	01	11	Derby Mercury	0004	1809	12	23	Jackson’s Oxford Journal	0004
1810	01	11	Trewman’s Exeter Flying Post	0003	1809	12	02	Jackson’s Oxford Journal	0004
1810	01	13	Jackson’s Oxford Journal	0004	1809	12	28	Derby Mercury	0004
1810	01	14	Examiner	0009	1809	12	02	Morning Chronicle	0002
1810	01	15	Caledonian Mercury	0001	1809	12	02	Jackson’s Oxford Journal	0001
1810	01	15	Caledonian Mercury	0001	1809	12	23	Jackson’s Oxford Journal	0004
