RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE	OPAGE
1828	03	01	Newcastle Courant	0002	1828	03	01	Ipswich Journal	0001
1828	03	03	Hampshire/Portsmouth Telegraph	0002	1828	03	01	Ipswich Journal	0001
1828	03	03	Bristol Mercury	0001	1828	03	01	Newcastle Courant	0002
1828	03	03	Bristol Mercury	0001	1828	03	03	Hampshire/Portsmouth Telegraph	0002
1828	03	03	Bristol Mercury	0002	1828	03	02	Examiner	S0014
1828	03	03	Morning Chronicle	0002	1828	03	03	Bristol Mercury	0003
1828	03	04	Hull Packet	0002	1828	03	03	Caledonian Mercury	0002
1828	03	04	Hull Packet	0002	1828	03	03	Morning Chronicle	0002
1828	03	04	Hull Packet	0002	1828	03	04	Belfast News-Letter	0001
1828	03	04	Hull Packet	0004	1828	03	02	Examiner	0007
1828	03	04	Hull Packet	0004	1828	03	03	Bristol Mercury	0004
1828	03	05	Aberdeen Journal	0004	1828	03	01	Caledonian Mercury	0004
1828	03	05	Derby Mercury	0002	1828	03	04	Belfast News-Letter	0002
1828	03	05	Derby Mercury	0004	1828	03	03	Hampshire/Portsmouth Telegraph	0003
1828	03	05	Derby Mercury	0004	1828	03	04	Belfast News-Letter	0001
1828	03	06	North Wales Chronicle	0004	1828	03	01	Caledonian Mercury	0002
1828	03	06	North Wales Chronicle	0004	1828	03	01	Newcastle Courant	0004
1828	03	06	North Wales Chronicle	0004	1828	03	03	Bristol Mercury	0001
1828	03	06	North Wales Chronicle	0004	1828	03	04	Hull Packet	0001
1828	03	06	Morning Chronicle	0004	1828	03	04	Hull Packet	0002
1828	03	07	Liverpool Mercury	0002	1828	03	02	Examiner	0008
1828	03	07	Liverpool Mercury	0002	1828	03	02	Examiner	0009
1828	03	07	Liverpool Mercury	0006	1828	03	01	Morning Chronicle	0001
1828	03	07	Liverpool Mercury	0007	1828	03	01	Caledonian Mercury	0004
1828	03	07	Belfast News-Letter	0002	1828	03	05	Derby Mercury	0002
1828	03	08	Caledonian Mercury	0002	1828	03	05	Morning Chronicle	0002
1828	03	08	Ipswich Journal	0001	1828	03	02	Examiner	S0014
1828	03	08	Ipswich Journal	0001	1828	03	03	Bristol Mercury	0002
1828	03	08	Ipswich Journal	0001	1828	03	03	Morning Chronicle	0003
1828	03	08	Ipswich Journal	0001	1828	03	06	North Wales Chronicle	0001
1828	03	08	Ipswich Journal	0001	1828	03	07	Belfast News-Letter	0002
1828	03	08	Ipswich Journal	0002	1828	03	04	Hull Packet	0002
1828	03	08	Ipswich Journal	0004	1828	03	03	Bristol Mercury	0002
1828	03	08	Newcastle Courant	0002	1828	03	02	Examiner	0008
1828	03	08	Newcastle Courant	0002	1828	03	03	Caledonian Mercury	0002
1828	03	08	Newcastle Courant	0003	1828	03	03	Caledonian Mercury	0003
1828	03	08	Newcastle Courant	0003	1828	03	04	Hull Packet	0001
1828	03	08	Newcastle Courant	0003	1828	03	08	Ipswich Journal	0004
1828	03	09	Examiner	0010	1828	03	03	Morning Chronicle	0002
1828	03	09	Examiner	0012	1828	03	08	Leeds Mercury	0004
1828	03	09	Examiner	0015	1828	03	03	Morning Chronicle	0001
1828	03	10	Bristol Mercury	0001	1828	03	05	Morning Chronicle	0001
1828	03	10	Bristol Mercury	0001	1828	03	05	Morning Chronicle	0002
1828	03	10	Bristol Mercury	0001	1828	03	06	Morning Chronicle	0001
1828	03	10	Bristol Mercury	0004	1828	03	08	Ipswich Journal	0001
1828	03	10	Bristol Mercury	0004	1828	03	08	Ipswich Journal	0004
1828	03	10	Bristol Mercury	0004	1828	03	08	Newcastle Courant	0003
1828	03	10	Morning Chronicle	0002	1828	03	09	Examiner	0015
1828	03	10	Morning Chronicle	0004	1828	03	10	Hampshire/Portsmouth Telegraph	0004
1828	03	11	Belfast News-Letter	0001	1828	03	07	Morning Chronicle	0002
1828	03	11	Belfast News-Letter	0001	1828	03	07	Morning Chronicle	0003
1828	03	11	Belfast News-Letter	0004	1828	03	05	Morning Chronicle	0002
1828	03	11	Belfast News-Letter	0004	1828	03	10	Bristol Mercury	0001
1828	03	11	Hull Packet	0001	1828	03	06	Morning Chronicle	0002
1828	03	11	Hull Packet	0001	1828	03	08	Ipswich Journal	0001
1828	03	11	Hull Packet	0001	1828	03	08	Ipswich Journal	0004
1828	03	11	Hull Packet	0001	1828	03	08	Newcastle Courant	0003
1828	03	11	Hull Packet	0001	1828	03	10	Bristol Mercury	0004
1828	03	11	Hull Packet	0002	1828	03	07	Morning Chronicle	0003
1828	03	11	Hull Packet	0004	1828	03	05	Morning Chronicle	0002
1828	03	11	Hull Packet	0004	1828	03	08	Ipswich Journal	0001
1828	03	11	Hull Packet	0004	1828	03	10	Bristol Mercury	0004
1828	03	11	Hull Packet	0004	1828	03	11	Belfast News-Letter	0004
1828	03	13	North Wales Chronicle	0003	1828	03	03	Morning Chronicle	0003
1828	03	13	Trewman’s Exeter Flying Post	0004	1828	03	12	Derby Mercury	0004
1828	03	14	Liverpool Mercury	0002	1828	03	09	Examiner	0007
1828	03	14	Liverpool Mercury	0002	1828	03	09	Examiner	0008
1828	03	14	Belfast News-Letter	0004	1828	03	13	Caledonian Mercury	0004
1828	03	14	Morning Chronicle	0003	1828	03	13	Caledonian Mercury	0002
1828	03	15	Caledonian Mercury	0002	1828	03	12	Morning Chronicle	0002
1828	03	15	Ipswich Journal	0001	1828	03	04	Hull Packet	0001
1828	03	15	Ipswich Journal	0001	1828	03	08	Newcastle Courant	0003
1828	03	15	Ipswich Journal	0002	1828	03	11	Morning Chronicle	0004
1828	03	15	Newcastle Courant	0003	1828	03	02	Examiner	S0014
1828	03	15	Newcastle Courant	0003	1828	03	03	Bristol Mercury	0002
1828	03	15	Newcastle Courant	0003	1828	03	07	Morning Chronicle	0003
1828	03	15	Newcastle Courant	0003	1828	03	08	Ipswich Journal	0001
1828	03	15	Newcastle Courant	0003	1828	03	11	Belfast News-Letter	0001
1828	03	15	Newcastle Courant	0003	1828	03	11	Hull Packet	0002
1828	03	15	Newcastle Courant	0004	1828	03	15	Ipswich Journal	0004
1828	03	17	Hampshire/Portsmouth Telegraph	0001	1828	03	08	Newcastle Courant	0001
1828	03	17	Hampshire/Portsmouth Telegraph	0001	1828	03	15	Newcastle Courant	0003
1828	03	17	Hampshire/Portsmouth Telegraph	0003	1828	03	17	Caledonian Mercury	0002
1828	03	17	Bristol Mercury	0001	1828	03	02	Examiner	S0014
