PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
294	487	492	1809	09	04	Caledonian Mercury	1809.09.04_CaledonianMercury_0001	1809	09	02	Caledonian Mercury	1809.09.02_CaledonianMercury_0001
685	1053	1029	1809	09	04	Caledonian Mercury	1809.09.04_CaledonianMercury_0002	1809	09	01	Morning Chronicle	1809.09.01_TheMorningChronicle_0002
250	404	404	1809	09	04	Morning Chronicle	1809.09.04_TheMorningChronicle_0001	1809	09	03	Examiner	1809.09.03_TheExaminer_0008
351	547	540	1809	09	04	Morning Chronicle	1809.09.04_TheMorningChronicle_0001	1809	09	04	Hampshire/Portsmouth Telegraph	1809.09.04_HampshireTelegraphandSussexChronicleetc_0003
229	339	336	1809	09	05	Hull Packet	1809.09.05_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0001	1809	09	02	Jackson’s Oxford Journal	1809.09.02_Jackson'sOxfordJournal_0001
282	425	421	1809	09	05	Hull Packet	1809.09.05_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0001	1809	09	02	Jackson’s Oxford Journal	1809.09.02_Jackson'sOxfordJournal_0004
205	277	277	1809	09	05	Hull Packet	1809.09.05_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0002	1809	09	04	Caledonian Mercury	1809.09.04_CaledonianMercury_0003
428	677	683	1809	09	05	Hull Packet	1809.09.05_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0004	1809	09	02	Caledonian Mercury	1809.09.02_CaledonianMercury_0002
348	569	558	1809	09	05	Hull Packet	1809.09.05_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0004	1809	09	02	Jackson’s Oxford Journal	1809.09.02_Jackson'sOxfordJournal_0002
219	339	328	1809	09	06	Aberdeen Journal	1809.09.06_TheAberdeenJournal_0003	1809	09	02	Caledonian Mercury	1809.09.02_CaledonianMercury_0003
404	589	574	1809	09	06	Aberdeen Journal	1809.09.06_TheAberdeenJournal_0003	1809	09	02	Jackson’s Oxford Journal	1809.09.02_Jackson'sOxfordJournal_0004
251	351	345	1809	09	06	Aberdeen Journal	1809.09.06_TheAberdeenJournal_0003	1809	09	04	Caledonian Mercury	1809.09.04_CaledonianMercury_0004
209	374	365	1809	09	07	Caledonian Mercury	1809.09.07_CaledonianMercury_0001	1809	09	02	Caledonian Mercury	1809.09.02_CaledonianMercury_0001
249	400	399	1809	09	07	Caledonian Mercury	1809.09.07_CaledonianMercury_0001	1809	09	04	Caledonian Mercury	1809.09.04_CaledonianMercury_0001
602	939	940	1809	09	07	Caledonian Mercury	1809.09.07_CaledonianMercury_0002	1809	09	03	Examiner	1809.09.03_TheExaminer_0008
235	404	411	1809	09	07	Caledonian Mercury	1809.09.07_CaledonianMercury_0002	1809	09	03	Examiner	1809.09.03_TheExaminer_0009
255	363	365	1809	09	07	Caledonian Mercury	1809.09.07_CaledonianMercury_0002	1809	09	03	Examiner	1809.09.03_TheExaminer_0010
