PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
570	848	845	1815	06	05	Caledonian Mercury	1815.06.05_CaledonianMercury_0002	1815	06	03	Ipswich Journal	1815.06.03_TheIpswichJournal_0002
346	575	536	1815	06	05	Caledonian Mercury	1815.06.05_CaledonianMercury_0004	1815	06	03	Cobbett’s Weekly Political Register	1815.06.03_Cobbett'sWeeklyPoliticalRegister_0015
202	288	286	1815	06	05	Caledonian Mercury	1815.06.05_CaledonianMercury_0004	1815	06	03	Morning Chronicle	1815.06.03_TheMorningChronicle_0002
224	354	334	1815	06	06	Hull Packet	1815.06.06_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0001	1815	06	03	Caledonian Mercury	1815.06.03_CaledonianMercury_0002
451	634	634	1815	06	06	Hull Packet	1815.06.06_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0004	1815	06	03	Caledonian Mercury	1815.06.03_CaledonianMercury_0002
793	1296	1268	1815	06	06	Hull Packet	1815.06.06_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0004	1815	06	05	Caledonian Mercury	1815.06.05_CaledonianMercury_0004
339	522	513	1815	06	08	Caledonian Mercury	1815.06.08_CaledonianMercury_0001	1815	06	01	Caledonian Mercury	1815.06.01_CaledonianMercury_0001
218	313	309	1815	06	08	Caledonian Mercury	1815.06.08_CaledonianMercury_0001	1815	06	05	Caledonian Mercury	1815.06.05_CaledonianMercury_0001
826	1257	1243	1815	06	08	Caledonian Mercury	1815.06.08_CaledonianMercury_0003	1815	06	06	Morning Chronicle	1815.06.06_TheMorningChronicle_0002
765	1067	1072	1815	06	08	Caledonian Mercury	1815.06.08_CaledonianMercury_0004	1815	06	05	Morning Chronicle	1815.06.05_TheMorningChronicle_0002
456	717	674	1815	06	08	Trewman’s Exeter Flying Post	1815.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001	1815	06	01	Trewman’s Exeter Flying Post	1815.06.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
685	973	969	1815	06	08	Trewman’s Exeter Flying Post	1815.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1815	06	01	Trewman’s Exeter Flying Post	1815.06.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
203	299	299	1815	06	08	Trewman’s Exeter Flying Post	1815.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1815	06	01	Trewman’s Exeter Flying Post	1815.06.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
317	499	503	1815	06	08	Trewman’s Exeter Flying Post	1815.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	01	Trewman’s Exeter Flying Post	1815.06.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
216	336	337	1815	06	08	Trewman’s Exeter Flying Post	1815.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	01	Trewman’s Exeter Flying Post	1815.06.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
2077	2709	2724	1815	06	08	Trewman’s Exeter Flying Post	1815.06.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003	1815	06	01	Trewman’s Exeter Flying Post	1815.06.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
